State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Age_Group_0_29,Age_Group_30_49,Age_Group_50,sex_ratio,literacy_rate
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,1430380,1298027,1599151,973486,625665,425402,13977,2518216,197819,2165,544,647,1472,48,1722387,613072,387389,100.0,100.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,887977,818375,989807,593544,396263,251737,26824,1591454,105423,2125,248,5090,97,57,1074754,375372,253998,100.0,100.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,2059949,1877436,1816634,1125566,691068,615688,2772,3042729,881476,3534,832,245,236,101,2535344,865971,529314,100.0,0.0
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,2266566,2124852,2297613,1368803,928810,1334351,3098,3876395,488121,3943,913,870,1723,108,2810026,936630,537333,100.0,100.0
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,1267666,1294346,1382998,793905,589093,320064,60807,2119262,436057,2463,271,167,133,28,1642807,546202,370662,100.0,100.0
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,916064,844341,858588,534385,324203,302649,78793,1525746,217621,8443,162,159,87,3438,1135919,392052,227016,100.0,0.0
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,585582,539731,618881,374412,244469,222974,1285,1045117,75742,691,148,248,60,58,714244,254582,155106,100.0,100.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,1600430,1470599,1280190,762256,517934,263100,179971,1684589,1365645,8659,2754,212,507,2141,2054202,660403,353483,100.0,0.0
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,883786,783100,768028,461153,306875,247161,675,1486989,175588,1253,143,79,86,115,1114645,355531,195796,100.0,0.0
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,866970,823430,745056,439921,305135,113118,64224,531236,1149095,5783,398,183,1476,28,1139615,361114,188447,100.0,0.0
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,526345,474567,507270,305182,202088,153209,8333,956396,40886,487,140,52,78,52,650642,218840,130655,100.0,100.0
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1047559,954203,834577,517666,316911,346275,12532,1753829,241760,1342,170,60,133,81,1311771,444235,242382,100.0,0.0
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,2329313,2158066,2155338,1340085,815253,587158,3990,3652168,818912,3262,564,328,442,169,2860455,1009424,611899,100.0,0.0
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,729041,638724,801817,473741,328076,183846,21404,1252319,110416,1815,338,95,145,61,860147,316713,188319,100.0,100.0
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,2527497,2273565,2509232,1487117,1022115,751975,5979,4032773,745546,5149,933,288,382,98,3016735,1079189,697108,100.0,100.0
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,1497060,1380593,1519933,919558,600375,607672,1442,2669775,198033,1978,393,414,561,64,1829128,642197,403129,100.0,100.0
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,1144668,1074478,1091012,659474,431538,565112,2045,1964620,244394,1299,250,176,279,80,1440781,485628,288805,100.0,0.0
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,2061110,1873932,1759481,1091226,668255,553944,250046,3047427,865090,8469,926,1337,296,1895,2544205,888205,497793,100.0,0.0
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,3078512,2759953,3459679,2028047,1431632,920918,9069,5356075,439952,12551,4803,1062,2151,203,3626564,1382654,815638,100.0,100.0
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,2681209,2418162,2276957,1407603,869354,649726,12461,4086453,990349,4865,668,878,464,104,3316422,1122340,648009,100.0,0.0
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,1699370,1565249,1332326,805261,527065,390991,139490,1989420,1255641,7989,614,353,1450,650,2155512,696556,372692,100.0,0.0
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,1543546,1416372,1799832,1061783,738049,549546,31650,2645415,300487,2889,2569,1584,252,537,1875174,673742,407193,100.0,100.0
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,997174,903487,804996,506374,298622,317249,6009,1629254,266620,1292,197,60,109,8,1249692,415863,233870,100.0,0.0
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,2230003,2031563,2142880,1293575,849305,803128,1884,3800598,452370,2126,554,292,231,112,2766930,913339,568812,100.0,100.0
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,2022821,1929041,2157454,1285767,871687,474066,36786,3534772,406449,2330,371,229,322,107,2516115,847031,585386,100.0,100.0
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,329743,306599,328676,196431,132245,131115,617,596102,37653,313,75,41,43,31,413475,136898,85045,100.0,100.0
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,346673,309573,283698,171645,112053,96655,318,552492,99342,522,216,73,52,44,421241,139909,93398,100.0,0.0
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,1803252,1620322,1436794,885188,551606,405714,2989,2672311,740101,2897,261,253,188,20,2206340,739982,449035,100.0,0.0
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,1675090,1655374,1930175,1115906,814269,386685,87000,2712635,608282,2618,369,407,359,86,2115448,713597,498299,100.0,100.0
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1155283,1073793,1033283,647672,385611,354249,10168,1809936,409251,3758,271,136,546,42,1453438,495020,277610,100.0,0.0
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,1844535,1650486,1926740,1152576,774164,738031,2274,3152346,333980,2203,707,362,246,71,2176701,759132,486032,100.0,100.0
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,580663,474787,805438,465346,340092,199086,0,852574,51447,8720,138329,1160,1960,246,602411,303748,148945,100.0,100.0
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,698487,714712,650863,382335,268528,37963,931780,1277975,12413,27951,2099,985,3466,86925,864272,358157,189569,100.0,0.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,192764,189192,287620,155599,132021,98989,10693,371973,6984,236,2387,113,10,7,193671,107367,80497,100.0,100.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,1351574,1312055,1596560,932474,664086,552992,498469,2540763,57973,20745,6373,2979,2357,29122,1625484,655032,380114,100.0,100.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,381956,192764,189192,287620,155599,132021,98989,10693,371973,6984,236,2387,113,10,7,193671,107367,80497,100.0,100.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,2663629,1351574,1312055,1596560,932474,664086,552992,498469,2540763,57973,20745,6373,2979,2357,29122,1625484,655032,380114,100.0,100.0
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,397897,401884,546833,303924,242909,58581,207633,777188,10425,2644,1196,667,3612,3685,461125,213021,125429,100.0,100.0
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,1682101,1661771,2303378,1284612,1018766,458040,397416,3129745,83499,24304,24276,19587,17209,42569,1919832,898241,523656,100.0,100.0
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,424747,426922,495415,280656,214759,48844,530378,629509,15336,189588,474,467,694,14835,488965,214455,148100,100.0,100.0
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,612915,593725,748759,433391,315368,124679,493559,1133176,30195,21059,3666,897,753,15649,729708,309479,166959,100.0,100.0
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,334737,324180,397823,229923,167900,54776,304280,604259,25878,9398,1391,84,1155,15474,399581,165022,94073,100.0,100.0
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,511967,520787,637963,364089,273874,139581,279896,1008061,12570,5284,2941,521,1495,1417,582544,272009,177826,100.0,100.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,750278,743706,951639,542756,408883,224942,505609,1422986,17332,47653,2117,781,409,1782,841958,398257,253488,100.0,100.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,1344345,1289855,1939994,1059692,880302,134952,305125,2239370,227465,17452,7477,121791,12260,1159,1414154,748339,462741,100.0,100.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,1493984,750278,743706,951639,542756,408883,224942,505609,1422986,17332,47653,2117,781,409,1782,841958,398257,253488,100.0,100.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,2634200,1344345,1289855,1939994,1059692,880302,134952,305125,2239370,227465,17452,7477,121791,12260,1159,1414154,748339,462741,100.0,100.0
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,2048186,2015686,2629749,1493158,1136591,724250,476446,3881485,103038,23181,16707,8397,17137,10680,2454299,1038155,560184,100.0,100.0
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,1193129,1166757,1187941,694686,493255,115652,1300628,2126195,81442,97432,2303,1287,623,48295,1441436,561915,355077,100.0,100.0
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,124659,66514,150348,104316,46032,4262,15240,171537,16087,2618,169,216,244,79,122589,52868,15428,100.0,100.0
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,1404356,1338726,1842818,1046981,795837,265793,55571,2397056,334858,2586,1110,1291,3841,77,1527888,749156,461650,100.0,100.0
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,1404356,1338726,1842818,1046981,795837,265793,55571,2397056,334858,2586,1110,1291,3841,77,1527888,749156,461650,100.0,100.0
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,416677,401331,663060,351738,311322,17606,56606,622213,57941,134169,618,553,546,166,380926,260533,175035,100.0,100.0
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,322463,318074,502427,264085,238342,7843,92669,341664,63623,231961,855,542,563,92,314480,194872,130605,100.0,100.0
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,3788051,3426174,5435760,3025463,2410297,759483,89138,6042416,883238,50754,14542,4518,209287,2055,3952858,2043895,1198152,100.0,100.0
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,771049,743141,995459,558180,437279,132915,7322,1410463,99105,919,415,243,2053,40,836343,389892,282409,100.0,100.0
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,1087224,1005521,1551253,874481,676772,104465,24824,1798794,250919,29789,1524,267,8591,142,1134962,585093,366419,100.0,100.0
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,1610379,1510127,1704923,1048402,656521,327460,284155,2890305,213505,1686,486,281,12659,83,1984701,738412,394793,100.0,100.0
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,805707,745312,1118276,623047,495229,62235,488194,1188204,343511,9494,1733,442,4813,342,844298,442523,254728,100.0,100.0
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,1490201,1390164,1887255,1087371,799884,157034,9110,2632574,212863,3457,1410,445,26974,127,1708938,720241,445121,100.0,100.0
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,723864,667889,1030494,582686,447808,108608,18204,1319586,57273,3237,1985,497,6405,82,769329,391862,224886,100.0,100.0
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,1114192,1045927,1396534,795140,601394,173895,24187,1810443,320805,4392,1873,1086,18856,136,1220598,576319,358455,100.0,100.0
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,1096737,995634,1252319,739239,513080,258859,24228,1608921,442355,6192,6353,490,25312,98,1278604,524052,286086,100.0,100.0
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,1185727,1114158,1660243,942480,717763,115631,40336,2000884,264482,26629,1403,300,3479,82,1260660,628221,388646,100.0,100.0
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,1056520,978544,1502645,847499,655146,162288,9392,1885732,136431,1954,1082,146,7087,88,1119451,554432,357578,100.0,100.0
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,301086,289211,370336,211767,158569,8733,481392,559848,22600,4413,147,80,373,2078,336830,157910,93466,100.0,100.0
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,678165,651507,1001909,539471,462438,35464,639659,1225087,78669,5733,2459,601,13386,2823,673014,390349,258957,100.0,100.0
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,1226961,1163815,1440805,858054,582751,100446,721604,2220974,158513,2863,662,337,5236,131,1421859,599925,363391,100.0,100.0
Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,694397,649337,837913,494631,343282,123408,13303,1194745,142797,916,337,66,3602,66,786357,341381,213465,100.0,100.0
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,300209,285240,393678,221621,172057,51830,13039,549749,33565,500,248,91,515,38,314886,163777,105638,100.0,100.0
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,1974445,1830113,2725056,1514075,1210981,290169,24017,3397406,361388,5478,1918,1170,33591,269,2080568,1052871,659576,100.0,100.0
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,1244231,1184358,1578734,918625,660109,187685,542156,2260560,148563,6375,614,168,11110,52,1393131,630963,400905,100.0,100.0
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,3402224,2679098,4571410,2687468,1883942,158115,856952,5260193,660772,21052,5703,12902,112835,3920,3563443,1740746,723415,100.0,100.0
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,909917,846351,1093626,643221,450405,179461,21453,1620282,109681,1419,512,312,22992,128,1033435,439352,280582,100.0,100.0
